Ticker,Entry_Time,Entry_Price,Exit_Time,Exit_Price,PnL_Dollars,Exit_Reason,Return_Pct,Compounded_Balance
AAPL,2021-04-16 09:50:00-04:00,130.1,2021-04-16 14:10:00+00:00,130.89,11.52,Take Profit,0.0028799999999999997,4011.52
AAPL,2021-04-20 10:40:00-04:00,130.45,2021-04-20 15:15:00+00:00,129.93,-8.64,Stop Loss,-0.00216,4002.8551168000004
UNP,2021-04-20 11:05:00-04:00,198.02,2021-04-20 18:05:00+00:00,197.92,-1.41,Time Stop,-0.0003525,4001.4441103713284
SYK,2021-04-22 14:00:00-04:00,250.19,2021-04-22 18:50:00+00:00,251.58,10.79,Take Profit,0.0026975,4012.2380058590556
AAPL,2021-04-26 09:50:00-04:00,130.25,2021-04-26 14:10:00+00:00,130.85,8.61,Take Profit,0.0021525,4020.874348166667
AAPL,2021-04-27 09:45:00-04:00,131.01,2021-04-27 16:45:00+00:00,131.39,5.19,Time Stop,0.0012975,4026.0914326334128
CAT,2021-04-29 09:45:00-04:00,209.07,2021-04-29 14:35:00+00:00,205.07,-38.63,Stop Loss,-0.009657500000000001,3987.2094546227554
TXN,2021-05-03 10:20:00-04:00,156.1,2021-05-03 15:25:00+00:00,155.12,-13.04,Stop Loss,-0.00326,3974.2111518006855
CAT,2021-05-05 10:00:00-04:00,212.94,2021-05-05 14:50:00+00:00,214.15,10.95,Take Profit,0.0027375,3985.0905548287396
TXN,2021-05-06 14:25:00-04:00,158.81,2021-05-06 19:35:00+00:00,159.87,12.84,Take Profit,0.00321,3997.8826955097397
UNP,2021-05-10 14:25:00-04:00,205.31,2021-05-10 18:50:00+00:00,204.73,-6.0,Stop Loss,-0.0015,3991.8858714664752
NSC,2021-05-17 14:45:00-04:00,257.64,2021-05-17 20:00:00+00:00,258.56,6.83,EOD Close,0.0017075,3998.7020165920044
AON,2021-05-21 09:45:00-04:00,245.36,2021-05-21 14:20:00+00:00,246.9,12.25,Take Profit,0.0030625,4010.9480415178177
ADI,2021-05-27 14:00:00-04:00,151.11,2021-05-27 18:25:00+00:00,150.64,-6.78,Stop Loss,-0.0016950000000000001,4004.149484587445
MRK,2021-06-01 09:45:00-04:00,64.46,2021-06-01 16:45:00+00:00,64.29,-6.52,Time Stop,-0.00163,3997.622720927567
AVGO,2021-06-01 10:45:00-04:00,42.44,2021-06-01 17:45:00+00:00,42.48,-0.0,Time Stop,-0.0,3997.622720927567
CAT,2021-06-07 09:50:00-04:00,222.29,2021-06-07 14:00:00+00:00,221.58,-6.77,Stop Loss,-0.0016925,3990.8567444723976
MRK,2021-06-07 09:45:00-04:00,62.98,2021-06-07 14:15:00+00:00,62.66,-11.47,Stop Loss,-0.0028675000000000003,3979.412962757623
NSC,2021-06-07 10:00:00-04:00,250.88,2021-06-07 14:40:00+00:00,249.79,-9.0,Stop Loss,-0.00225,3970.459283591418
JPM,2021-06-07 09:55:00-04:00,146.16,2021-06-07 14:45:00+00:00,145.61,-8.1,Stop Loss,-0.002025,3962.419103542146
AAPL,2021-06-07 09:45:00-04:00,122.26,2021-06-07 16:45:00+00:00,122.28,-0.33,Time Stop,-8.25e-05,3962.092203966103
AON,2021-06-07 10:25:00-04:00,240.06,2021-06-07 17:25:00+00:00,240.11,0.08,Time Stop,2e-05,3962.1714458101824
AVGO,2021-06-10 10:50:00-04:00,41.66,2021-06-10 16:50:00+00:00,42.02,15.52,Take Profit,0.0038799999999999998,3977.544671019926
AAPL,2021-06-10 10:50:00-04:00,123.14,2021-06-10 17:50:00+00:00,123.2,0.32,Time Stop,8e-05,3977.862874593608
ADI,2021-06-10 10:50:00-04:00,151.97,2021-06-10 17:50:00+00:00,152.87,11.32,Time Stop,0.00283,3989.1202265287084
NSC,2021-06-10 14:45:00-04:00,245.68,2021-06-10 19:10:00+00:00,245.26,-3.79,Stop Loss,-0.0009475,3985.3405351140723
ECL,2021-06-14 09:50:00-04:00,200.91,2021-06-14 16:50:00+00:00,200.93,-0.2,Time Stop,-5e-05,3985.141268087317
NSC,2021-06-16 09:45:00-04:00,245.47,2021-06-16 16:20:00+00:00,247.28,14.46,Take Profit,0.003615,3999.547553771452
SYK,2021-06-16 14:00:00-04:00,243.0,2021-06-16 19:05:00+00:00,244.66,13.3,Take Profit,0.0033250000000000003,4012.8460493877424
JPM,2021-06-17 09:45:00-04:00,136.44,2021-06-17 15:00:00+00:00,135.2,-18.74,Stop Loss,-0.004685,3994.0458656463607
SYK,2021-06-18 09:50:00-04:00,244.36,2021-06-18 16:50:00+00:00,243.87,-4.34,Time Stop,-0.001085,3989.7123258821343
V,2021-06-18 14:55:00-04:00,222.52,2021-06-18 19:20:00+00:00,223.34,7.04,Take Profit,0.00176,3996.734219575687
