Ticker,Entry Time,Exit Time,Entry Price,Exit Price,Exit Reason,Shares,PnL
SPOT,2024-04-11 15:00:00-04:00,2024-04-11 15:45:00-04:00,305.02,304.63,EOD Cutoff,3.2785,-1.28
SPOT,2024-04-23 13:35:00-04:00,2024-04-23 14:00:00-04:00,315.52,312.95,SL / Trail Exit,3.1694,-8.15
SPOT,2024-05-02 13:25:00-04:00,2024-05-02 14:45:00-04:00,290.52,293.2,TP (3R Target),3.4421,9.22
SPOT,2024-05-07 13:20:00-04:00,2024-05-07 14:05:00-04:00,299.12,298.08,SL / Trail Exit,3.3431,-3.48
SPOT,2024-05-07 14:45:00-04:00,2024-05-07 15:45:00-04:00,298.36,298.49,EOD Cutoff,3.3517,0.44
SPOT,2024-05-09 14:50:00-04:00,2024-05-09 15:45:00-04:00,299.51,299.07,EOD Cutoff,3.3388,-1.46
SPOT,2024-05-15 13:25:00-04:00,2024-05-15 15:15:00-04:00,299.42,301.71,TP (3R Target),3.3398,7.63
SPOT,2024-05-20 13:40:00-04:00,2024-05-20 14:05:00-04:00,307.37,306.15,SL / Trail Exit,3.2534,-3.97
SPOT,2024-05-20 14:45:00-04:00,2024-05-20 15:45:00-04:00,307.65,307.37,EOD Cutoff,3.2504,-0.93
SPOT,2024-05-28 13:10:00-04:00,2024-05-28 14:10:00-04:00,310.09,310.03,Time Stop (Stagnant),3.2249,-0.19
SPOT,2024-05-28 14:55:00-04:00,2024-05-28 15:20:00-04:00,309.52,308.73,SL / Trail Exit,3.2308,-2.57
SPOT,2024-06-04 13:00:00-04:00,2024-06-04 14:20:00-04:00,321.71,322.05,SL / Trail Exit,3.1084,1.04
SPOT,2024-06-04 14:30:00-04:00,2024-06-04 15:00:00-04:00,321.52,321.44,SL / Trail Exit,3.1102,-0.26
SPOT,2024-06-04 15:05:00-04:00,2024-06-04 15:45:00-04:00,321.92,326.0,EOD Cutoff,3.1064,12.67
SPOT,2024-06-12 13:10:00-04:00,2024-06-12 14:00:00-04:00,312.52,311.61,SL / Trail Exit,3.1998,-2.93
SPOT,2024-06-12 14:30:00-04:00,2024-06-12 15:15:00-04:00,312.85,315.72,TP (3R Target),3.1964,9.16
SPOT,2024-06-25 13:05:00-04:00,2024-06-25 13:45:00-04:00,317.99,322.53,TP (3R Target),3.1448,14.26
SPOT,2024-06-26 13:45:00-04:00,2024-06-26 14:50:00-04:00,319.71,319.6,Time Stop (Stagnant),3.1278,-0.36
SPOT,2024-06-26 15:05:00-04:00,2024-06-26 15:45:00-04:00,319.3,319.1,EOD Cutoff,3.1319,-0.63
SPOT,2024-07-25 13:00:00-04:00,2024-07-25 13:20:00-04:00,336.02,333.73,SL / Trail Exit,2.976,-6.82
SPOT,2024-07-30 13:00:00-04:00,2024-07-30 15:25:00-04:00,329.16,330.98,SL / Trail Exit,3.038,5.51
