Ticker,Date,Entry_Time,Exit_Time,Entry_Price,Exit_Price,Gap_Pct,Exit_Reason,PnL_Pct
COIN,2026-01-20,10:20:00,11:45:00,231.23,230.15,-4.08,Stop Loss,-0.47
COIN,2026-03-03,10:35:00,13:30:00,176.66,185.13,-4.7,Take Profit,4.79
MARA,2026-01-20,10:20:00,15:45:00,10.52,10.38,-4.8,Time Stop,-1.24
MARA,2026-02-02,09:45:00,15:45:00,9.2,9.07,-5.48,Time Stop,-1.45
RIOT,2026-01-20,10:20:00,15:45:00,18.2,18.34,-6.11,Time Stop,0.71
RIOT,2026-02-02,09:45:00,09:50:00,15.42,15.55,-5.79,Take Profit,0.84
MSTR,2026-01-20,10:30:00,10:35:00,161.58,161.51,-5.27,Stop Loss,-0.04
MSTR,2026-02-02,09:45:00,15:45:00,143.74,140.98,-6.35,Time Stop,-1.92
MSTR,2026-04-20,09:45:00,10:05:00,165.84,166.25,-4.69,Take Profit,0.25
SOFI,2026-03-02,09:45:00,10:10:00,17.56,17.68,-4.13,Take Profit,0.68
SMCI,2026-01-20,10:20:00,15:45:00,30.74,31.3,-4.13,Time Stop,1.82
SMCI,2026-03-02,09:45:00,15:45:00,31.5,31.85,-4.96,Time Stop,1.11
SMCI,2026-03-23,09:45:00,10:15:00,20.18,20.91,-9.14,Take Profit,3.6
