Entry_Date,Trade_Type,Entry_Ratio,Entry_Z_Score,Exit_Date,Exit_Ratio,Exit_Reason,PnL_Pct,Hold_Days
2021-02-11,Long PEP / Short KO,2.667752442996743,-2.036703969647105,2021-03-05,2.6246543778801845,15-Day Time Stop,-1.62,22
2021-03-23,Short PEP / Long KO,2.696928635953026,3.009353453306372,2021-04-14,2.6610540126831403,15-Day Time Stop,1.33,22
2021-04-29,Long PEP / Short KO,2.636577540106952,-2.6677908581832437,2021-05-12,2.652491408934708,Take Profit,0.6,13
2021-05-26,Short PEP / Long KO,2.6785488293608943,2.0279253240801536,2021-05-28,2.6591099916036947,Take Profit,0.73,2
2021-06-30,Short PEP / Long KO,2.720885671705344,2.1528449658947246,2021-07-22,2.730722154222766,15-Day Time Stop,-0.36,22
2021-08-20,Short PEP / Long KO,2.7779133618059793,2.7112125513594734,2021-09-13,2.7793301828641876,15-Day Time Stop,-0.05,24
2021-09-20,Short PEP / Long KO,2.821700507614213,2.5876836790816062,2021-10-11,2.8608475648323846,15-Day Time Stop,-1.39,21
2021-10-20,Short PEP / Long KO,2.93197990791126,2.2832891141264464,2021-10-28,2.8639053254437874,Take Profit,2.32,8
2021-11-22,Short PEP / Long KO,2.938169826875515,2.172350885187756,2021-12-14,2.9067713444553482,15-Day Time Stop,1.07,22
2022-02-08,Long PEP / Short KO,2.752058554437329,-2.895535797546055,2022-03-02,2.614028711611848,15-Day Time Stop,-5.02,22
2022-04-07,Short PEP / Long KO,2.6954206602768904,2.2337681080303353,2022-04-13,2.648286658549313,Take Profit,1.75,6
2022-04-18,Long PEP / Short KO,2.6206535034073037,-2.7983944323368433,2022-04-29,2.633670268386197,Take Profit,0.5,11
2022-07-07,Short PEP / Long KO,2.6824804548685144,2.762750413512943,2022-07-28,2.703542139242715,15-Day Time Stop,-0.79,21
2022-08-04,Short PEP / Long KO,2.7363061797752812,2.043593558828597,2022-08-25,2.746240276577355,15-Day Time Stop,-0.36,21
2022-09-02,Short PEP / Long KO,2.7835466179159045,2.631233646116382,2022-09-16,2.776514445479963,Take Profit,0.25,14
2022-09-22,Short PEP / Long KO,2.8168539325842694,2.490988291005406,2022-10-13,3.0945570123162494,15-Day Time Stop,-9.86,21
2022-10-14,Short PEP / Long KO,3.064997981429148,2.398730658966016,2022-10-27,2.9752050708426547,Take Profit,2.93,13
2022-11-14,Long PEP / Short KO,2.881396198830409,-2.6857185018104626,2022-12-06,2.8322042730588852,15-Day Time Stop,-1.71,22
2023-01-23,Long PEP / Short KO,2.7775338455909258,-2.330337922218101,2023-02-07,2.8253531462117043,Take Profit,1.72,15
2023-02-10,Short PEP / Long KO,2.9238447319778187,2.105567318085534,2023-03-06,2.8625410733844467,15-Day Time Stop,2.1,24
2023-04-26,Short PEP / Long KO,2.93236964377904,3.049356236195703,2023-05-17,3.005714285714286,15-Day Time Stop,-2.5,21
2023-06-08,Long PEP / Short KO,3.001811266074986,-2.497813599643843,2023-06-13,2.9887843704775685,Take Profit,-0.43,5
2023-06-30,Short PEP / Long KO,3.0378446566948996,2.0594152272679778,2023-07-18,3.0078838917756676,Take Profit,0.99,18
2023-08-18,Long PEP / Short KO,2.8874643874643877,-2.9674101912962545,2023-08-31,2.9579176491928165,Take Profit,2.44,13
2023-09-13,Short PEP / Long KO,3.0581244196843085,2.1112994355322563,2023-09-28,2.9972988616631295,Take Profit,1.99,15
2023-10-13,Long PEP / Short KO,2.9853420195439737,-2.349065057359334,2023-11-03,2.9005692599620496,15-Day Time Stop,-2.84,21
2023-12-11,Long PEP / Short KO,2.804052831554188,-2.013015489514032,2023-12-21,2.840302081414625,Take Profit,1.29,10
2024-01-09,Long PEP / Short KO,2.748442228947837,-2.1360634571652417,2024-01-29,2.7774995528527993,Take Profit,1.06,20
2024-02-09,Short PEP / Long KO,2.7769010043041606,2.48957454602361,2024-02-15,2.7876281244380507,Take Profit,-0.39,6
2024-02-22,Long PEP / Short KO,2.714535290006988,-2.2513607813416816,2024-03-14,2.6859344894026975,15-Day Time Stop,-1.05,21
2024-03-19,Short PEP / Long KO,2.813126869611121,3.0759673543002193,2024-04-10,2.8276978417266188,15-Day Time Stop,-0.52,22
2024-04-17,Short PEP / Long KO,2.856547726861076,2.0707917354075422,2024-04-24,2.8424586776859506,Take Profit,0.49,7
2024-05-30,Long PEP / Short KO,2.712722298221614,-2.3034562457525642,2024-06-21,2.6284134695928967,15-Day Time Stop,-3.11,22
2024-08-07,Long PEP / Short KO,2.474961597542243,-2.1288787655801387,2024-08-28,2.3907372123699253,15-Day Time Stop,-3.4,21
2024-08-29,Long PEP / Short KO,2.3558604583272515,-2.6328558277819663,2024-09-06,2.4773096821877307,Take Profit,5.16,8
2024-11-15,Short PEP / Long KO,2.5359499238707497,2.1612166309961625,2024-11-19,2.4712164191556814,Take Profit,2.55,4
2024-11-20,Long PEP / Short KO,2.4873155363952906,-2.010521422889997,2024-12-10,2.5101334651507665,Take Profit,0.92,20
2024-12-18,Long PEP / Short KO,2.4275111331024246,-2.5353748598157444,2025-01-13,2.3157894736842106,15-Day Time Stop,-4.6,26
2025-02-05,Long PEP / Short KO,2.279848907866645,-2.5506970721153293,2025-02-27,2.1192043293842326,15-Day Time Stop,-7.05,22
2025-03-21,Long PEP / Short KO,2.0954450104884628,-2.0087397049632534,2025-04-11,2.000432152117545,15-Day Time Stop,-4.53,21
2025-04-14,Long PEP / Short KO,2.003976707853998,-2.18616878329971,2025-05-06,1.803586800573888,15-Day Time Stop,-10.0,22
2025-06-17,Short PEP / Long KO,1.8444379219254476,2.149094938160266,2025-06-26,1.8332107662891604,Take Profit,0.61,9
2025-07-02,Short PEP / Long KO,1.9115273775216137,2.0966237910178713,2025-07-24,2.0770368179801864,15-Day Time Stop,-8.66,22
2025-08-15,Short PEP / Long KO,2.136489843635832,2.080219038389516,2025-09-08,2.1075757575757574,15-Day Time Stop,1.35,24
2025-10-10,Short PEP / Long KO,2.2279189352692073,2.6464096855986776,2025-10-22,2.1507731958762886,Take Profit,3.46,12
2025-12-11,Short PEP / Long KO,2.152097902097902,2.3563013597508937,2025-12-24,2.046100818612667,Take Profit,4.93,13
