Symbol,Security Name,Tier,Price,Change %,Vol,Sec Type,Country,State
WELX,WINLAND HOLDINGS CORP,OTCID,2.388700,0.137476,6873,Common Stock,USA,Minnesota
BLEG,BRANDED LEGACY INC,Pink Limited,0.000300,0.000000,52054256,Common Stock,USA,Florida
UTRX,UNITRONIX CORP,Pink Limited,0.016200,-0.147368,13209,Common Stock,USA,New Jersey
UNRG,UNITED ENERGY CRP NEV,OTCID,0.022600,0.027273,125000,Common Stock,USA,Texas
KSEZ,KINETIC SEAS INC,OTCQB,0.062028,-0.065843,211500,Common Stock,USA,Illinois
WDRP,WANDERPORT CORP,OTCID,0.000700,-0.054054,2000000,Common Stock,USA,Texas
TOFB,TOFUTTI BRANDS INC,OTCQB,0.680000,-0.116883,250,Common Stock,USA,New Jersey
MHGU,MERITAGE HOSPTLTY GRP INC,OTCQX,3.320000,0.006061,2861,Common Stock,USA,Michigan
FUNN,AMFIL TECHNOLOGIES INC,OTCID,0.001100,0.222222,13587936,Common Stock,Canada,Ontario
MDCN,MEDICAN ENTERPRISES INC,Pink Limited,0.000001,0.000000,16666,Common Stock,USA,California
FORW,FORWARDLY INC,OTCID,0.003200,0.066667,16340,Common Stock,USA,Nevada
PVSP,PERVASIP CORP NEW,OTCID,0.000150,0.000000,5025000,Common Stock,USA,Washington
SFES,SAFEGUARD SCIENTIFICS INC,Pink Limited,0.700100,-0.040959,8373,Common Stock,USA,Pennsylvania
PVCT,PROVECTUS BIOPHARMS,OTCQB,0.046250,-0.005376,414861,Common Stock,USA,Tennessee
NMGX,NANO MAGIC INC,OTCID,0.226000,0.000000,2043,Common Stock,USA,Michigan
RLLCF,ROLLS ROYCE HLDG PREF C,Pink Limited,0.002500,0.000000,792292,Preferred Stock,United Kingdom,
RAFI,REGENCY AFFILIATES INC,OTCID,4.000000,0.028278,4300,Common Stock,USA,New York
REGRF,NEW WORLD SOLUTIONS INC,Pink Limited,0.003700,0.000000,45000,Foreign Ordinary Shares,Canada,Ontario
SSHT,SSHT S&T GROUP LTD,OTCID,0.010000,-0.061914,29500,Common Stock,New Zealand,
IDEA,INVENT VENTURES INC NEW,OTCID,0.015200,0.000000,25000,Common Stock,USA,Florida
CPMV,MOSAIC IMMUNOENGINEERING,Pink Limited,0.703660,0.754763,300,Common Stock,USA,California
PRKR,PARKERVISION INC,OTCQB,0.274900,0.039319,26613,Common Stock,USA,Florida
GRPS,GOLD RIVER PRODS INC,OTCID,0.000200,0.000000,1001999,Common Stock,USA,Texas
OLYMY,OLYMPUS CORP U/ADR,Pink Limited,9.312000,0.003448,153988,ADRs,Japan,
GRST,ETHEMA HEALTH CORPORATION,OTCID,0.000300,-0.250000,110290,Common Stock,USA,Florida
